3
2 1
3 1 
2 2 3
4 10
7 5 1 10 
1 2 9
4 4 2
2 3 5
1 1 1
2 1 4
1 2 1
4 3 5
2 1 6
2 4 9
3 4 4
8 60
6 12 1 6 19 6 6 16 
4 3 160
5 7 87
7 1 46
4 5 190
3 4 156
2 8 96
3 2 193
4 8 8
8 4 126
2 2 52
4 2 68
1 4 119
6 8 182
5 3 188
1 1 160
6 2 8
3 6 171
3 7 147
7 5 46
1 3 43
3 6 36
7 7 103
5 4 69
5 4 128
3 8 40
6 5 118
1 5 51
8 2 35
6 6 108
1 5 80
4 2 5
1 3 84
3 6 34
6 1 94
3 4 112
7 3 57
7 8 179
4 7 138
3 6 74
4 4 161
2 1 81
8 6 7
3 1 73
2 2 58
4 7 35
6 6 79
3 6 40
3 4 136
2 8 178
1 3 127
5 7 137
4 2 123
8 7 163
7 4 124
7 3 20
8 8 200
6 1 164
2 5 119
5 2 99
2 8 171
